0	2166.95
1	2126.99
2	2122.07
3	1936.87
4	2048.68
5	2093.86
6	2207.15
7	2063.07
8	2154.53
9	2328.42
10	1847.27
11	1927.57
12	1860.13
13	2022.83
14	1873.71
15	2422.09
16	2148.66
17	2446.75
18	2140.56
19	1987.31
20	2142.21
21	2011.07
22	2006.19
23	1887.04
24	2027.08
25	2342.58
26	2359.65
27	2168.08
28	1995.36
29	1803.6
30	2011.36
31	1996.7
32	1823.29
33	2011.58
34	2275.47
35	2242.52
36	1900.69
37	2065.61
38	2200.94
39	1928.74
40	1943.94
41	2321.86
42	1934.61
43	2066.95
44	2136.16
45	2156.3
46	1967.45
47	1729.79
48	2262.53
49	2108.11
50	2187.42
51	2091.67
52	1995.42
53	1772.79
